gene,log2fc,-log10fdr
Smp_004640,1.107163624,10.6556077263149
Smp_004690,-6.218520129,55.2604276555499
Smp_004710,-5.304269586,11.632644078974
Smp_004730,-4.281730157,38.3757179041643
Smp_004810,-0.657365174,3.41643625456663
Smp_004820,-1.906257143,15.6655462488491
Smp_004980,-0.976793022,4.05109823902979
Smp_005020,-1.025371123,7.96257350205938
Smp_005070,-1.055607711,9.74957999769111
Smp_005190,-0.878138423,10.4894549897934
Smp_005230,-0.75492012,4.7851561519523
Smp_005280,0.763306063,5.91721462968355
Smp_005330,1.261812498,13.0545314148682
Smp_005350,-4.52266991,61.9100948885606
Smp_005360,-3.674324616,6.39254497678533
Smp_005470,-11.51210624,24.1174754620451
Smp_005540,2.633349273,9.90657831483776
Smp_005570,1.467736854,17.2441251443275
Smp_005670,-1.361112545,16.9469215565166
Smp_005720,-4.184080769,28.1965428843516
Smp_005740,-8.393580271,209.982966660701
Smp_005880,-1.100521719,5.29670862188134
Smp_005900,-1.835472164,17.0675262353228
Smp_005910,-0.908849627,6.72353819582676
Smp_005960,-3.817623657,11.9469215565166
Smp_006040,-3.238741142,66.5214335044062
Smp_006190,-0.606483042,3.33396525360502
Smp_006250,1.080385223,6.80687540164554
Smp_006300,-1.025054098,4.16557929631847
Smp_006350,1.201125308,8.19382002601611
Smp_006390,-2.587781422,10.6777807052661
Smp_006440,1.038624168,9.52870828894106
Smp_006630,1.523986753,21.4841261562883
Smp_006700,1.624110632,22.2620126736666
Smp_006720,-1.757173423,10.7189666327523
Smp_006730,-2.881901197,45.6179829574251
Smp_006740,-1.705244611,17.5883802940368
Smp_006750,-0.763798173,4.06499684854635
Smp_006760,-1.920401799,14.4907974776689
Smp_006780,-0.713428069,3.20001400354241
Smp_006840,-1.013549107,4.58838029403677
Smp_006860,-5.047251424,48.6289321377283
Smp_006970,-1.061936568,10.2975694635545
Smp_006980,-1.075620331,5.09044397075882
Smp_006990,1.34573263,10.6055483191738
Smp_007000,2.356461192,17.7399286120149
Smp_007070,-3.694302387,6.03151705144607
Smp_007210,-0.703863715,4.33348201944512
Smp_007270,-5.215997647,115.598599459218
Smp_007330,-0.621334537,3.30891850787703
Smp_007500,-0.889887867,11.012780770092
Smp_007510,0.746548659,7.59516628338006
Smp_007570,-9.932151641,20.4424927980943
Smp_007640,-1.325817364,18.4190750243244
Smp_007650,-1.824614708,15.5783960731302
Smp_007670,-3.338937341,10.5391021572435
Smp_007690,2.233090287,5.82102305270683
Smp_007760,-2.142598339,40.5185573714977
Smp_007770,0.980720358,6.64975198166584
Smp_007780,0.962549595,3.669482738895
Smp_007890,-1.071379235,3.87759078081171
Smp_008070,-2.136393723,5.6675615400844
Smp_008120,0.599169943,3.88830072242645
Smp_008190,-3.906657229,5.75448733218585
Smp_008220,1.388773592,20.7619538968712
Smp_008230,-1.079406981,10.2146701649892
Smp_008310,-0.94135473,8.77989191195995
Smp_008320,-1.393623745,6.93181413825384
Smp_008360,1.115076911,4.61798295742513
Smp_008400,1.970926916,6.55909091793478
Smp_008440,-0.722900233,3.86884988221223
Smp_008450,5.744071288,120.823908740944
