GeneID,bT2,bT3
Smp_033770,43.1809742960634,33.7173773227277
Smp_033870,48.6865155795275,54.2947924795658
Smp_033930,7.5591620769326,4.8847391853776
Smp_033950,47.7688333658359,67.8328387011264
Smp_033970,143.214496759238,137.088233137951
Smp_033990,96.1909660594402,69.6333710611187
Smp_034000,62.482573633765,85.7820966256759
Smp_034080,7.9007061919114,10.1390364769007
Smp_034090,17.0711433832902,18.4997178081233
Smp_034100,147.677662166564,99.3645296359869
Smp_034120,53.827651900102,46.6209931912535
Smp_034190,162.494000918545,149.008319030649
Smp_034220,25.5600894674299,24.0154422125886
Smp_034270,13.7962124304344,18.9801333703052
Smp_034300,4.37436346689088,7.41399149084979
Smp_034310,6.29065571958849,0
Smp_034400,171.01463967628,136.566600656896
Smp_034410,65.4491450080199,52.4699077562033
Smp_034420,186.759998636978,223.589065531098
Smp_034430,145.875372289634,110.337638069706
Smp_034440,2.43101118812328,0.78365251344635
Smp_034450,40.5966967605253,44.0779446491713
Smp_034490,265.929120117657,223.972527604108
Smp_034500,52.6730012325733,49.9072766865079
Smp_034530,78.2696358165778,62.0944011553787
Smp_034550,12.4057555471507,10.9946747886528
Smp_034660,2.03764992105682,2.26295300606855
Smp_034670,55.9603064858171,62.2109927020665
Smp_034680,6.89415250420012,13.2116693953047
Smp_034700,152.774644081164,152.211946761536
Smp_034840,1972.81396042131,2071.44756147932
Smp_034850,1.43771921849305,0.131538558708625
Smp_034860,2.28186415054795,2.32841667661349
Smp_034870,158.678777760471,176.996974252531
Smp_034920,70.2043461979936,68.6630789819888
Smp_034940,71.1012381370966,68.861971496859
Smp_034980,73.883157447217,86.2637608971581
Smp_035000,34.6893227695322,32.4866033765723
Smp_035010,99.3359057668865,78.0370129998421
Smp_035020,42.8964979757736,39.9101967065407
Smp_035030,116.105185928179,144.900429044422
Smp_035040,7.09185921106091,5.39836732667077
Smp_035080,29.2257677201865,36.7661053439682
Smp_035090,37.8943206863597,53.5010044110316
Smp_035110,47.1847818059752,39.7260007976204
Smp_035120,0.861015548834087,0
Smp_035140,2.86619265423051,4.0864363603103
Smp_035150,92.255983055541,75.6180208069901
Smp_035160,13.477615918064,18.9479864052832
Smp_035180,153.255824062522,104.39853865975
Smp_035190,17.5462786223207,23.615460892779
Smp_035200,1558.95880272429,1765.9531415139
Smp_035210,9.35247523941446,7.28690994450773
Smp_035220,218.517681685645,170.681983118051
Smp_035250,1.67443583256446,0.597464515746137
